Move(type=freecell_to_foundation, source=3, destination=diamonds)
Move(type=tableau_to_foundation, source=2, destination=hearts)
Move(type=tableau_to_foundation, source=0, destination=spades)
Move(type=tableau_to_foundation, source=6, destination=clubs)
Move(type=tableau_to_foundation, source=2, destination=spades)
Move(type=tableau_to_foundation, source=1, destination=hearts)
Move(type=tableau_to_foundation, source=0, destination=clubs)
Move(type=tableau_to_foundation, source=2, destination=hearts)
Move(type=tableau_to_foundation, source=0, destination=hearts)
Move(type=tableau_to_foundation, source=4, destination=spades)
Move(type=freecell_to_foundation, source=0, destination=diamonds)
Move(type=tableau_to_foundation, source=4, destination=diamonds)
Move(type=tableau_to_foundation, source=1, destination=clubs)
Move(type=tableau_to_foundation, source=2, destination=clubs)
Move(type=freecell_to_foundation, source=1, destination=diamonds)
Move(type=tableau_to_foundation, source=3, destination=diamonds)
Move(type=tableau_to_foundation, source=2, destination=diamonds)
Move(type=tableau_to_foundation, source=0, destination=spades)
Move(type=tableau_to_foundation, source=3, destination=spades)
Move(type=tableau_to_foundation, source=7, destination=hearts)
Move(type=tableau_to_foundation, source=1, destination=clubs)
Move(type=tableau_to_foundation, source=0, destination=spades)
Move(type=tableau_to_foundation, source=1, destination=spades)
Move(type=tableau_to_foundation, source=3, destination=hearts)
Move(type=tableau_to_foundation, source=1, destination=hearts)
Move(type=tableau_to_foundation, source=7, destination=clubs)
Move(type=tableau_to_foundation, source=3, destination=clubs)
Move(type=tableau_to_foundation, source=4, destination=diamonds)
Move(type=tableau_to_foundation, source=7, destination=diamonds)
